Date,VBTIX,GE,WMT,IBM,SPX
1999-12-31,NA,49.5795,69.125,107.875,1469.25
2000-01-03,NA,48.0577,66.875,115.625,1455.22
2000-01-04,NA,46.1955,64.25,112.0625,1399.42
2000-01-05,NA,45.9552,63,116,1402.11
2000-01-06,NA,46.671,63.6875,115,1403.45
2000-01-07,NA,48.4782,68.5,113.5,1441.47
2000-01-10,NA,48.4582,67.25,118.5,1457.6
2000-01-11,NA,48.5783,66.25,118.875,1438.56
2000-01-12,NA,48.6985,65.0625,119.625,1432.25
2000-01-13,NA,49.2591,65.125,118.25,1449.68
2000-01-14,NA,48.3781,64.5,119.625,1465.15
2000-01-17,NA,48.3781,64.5,119.625,1465.15
2000-01-18,NA,47.4169,65.5625,116,1455.14
2000-01-19,NA,47.6472,64.0625,120.5,1455.9
2000-01-20,NA,46.7561,63.375,121.875,1445.57
2000-01-21,NA,46.1754,62.4375,121.5,1441.36
2000-01-24,NA,44.2531,59,118,1401.53
2000-01-25,NA,44.3733,61.125,119.125,1410.03
2000-01-26,NA,45.3144,61.9375,116.75,1404.09
2000-01-27,NA,45.4145,59.125,113.5,1398.56
2000-01-28,NA,42.9315,55.125,111.5625,1360.16
2000-01-31,NA,42.9251,54.75,112.25,1394.46
2000-02-01,NA,43.5723,58.6875,109.9375,1409.28
2000-02-02,NA,42.9516,58.375,113.5,1409.12
2000-02-03,NA,44.6136,58.375,117.125,1424.97
2000-02-04,NA,45.3544,56.3125,115.625,1424.37
2000-02-07,NA,43.7325,55.1875,114.125,1424.24
2000-02-08,NA,43.9127,59.5,119,1441.72
2000-02-09,NA,42.9516,57.5,117.375,1411.7
2000-02-10,NA,43.3921,57.9375,119.125,1416.83
2000-02-11,NA,42.8514,56.0625,115.375,1387.12
2000-02-14,NA,43.0517,57.875,116.0625,1389.94
2000-02-15,NA,44.0529,58,117.125,1402.05
2000-02-16,NA,43.4622,52.875,115.75,1387.67
2000-02-17,NA,41.9303,48.9375,116.75,1388.26
2000-02-18,NA,40.1282,48.25,112.625,1346.09
2000-02-21,NA,40.1282,48.25,112.625,1346.09
2000-02-22,NA,41.5299,48.1875,111,1352.17
2000-02-23,NA,41.8102,47.125,108.75,1360.69
2000-02-24,NA,41.9704,44.625,110.8125,1353.43
2000-02-25,NA,40.4085,45,105.75,1333.36
2000-02-28,NA,41.3096,46.125,104.5,1348.05
2000-02-29,NA,42.4109,48.875,102.75,1366.42
2000-03-01,NA,42.0905,50,100.5,1379.19
2000-03-02,NA,43.332,50.5625,103.25,1381.76
2000-03-03,NA,44.6536,52.625,109,1409.17
2000-03-06,NA,44.0329,50.5,103.0625,1391.28
2000-03-07,NA,41.63,47.5625,102.75,1355.62
2000-03-08,NA,41.7501,48.3125,106.125,1366.7
2000-03-09,NA,42.2107,48.9375,107.5625,1401.69
2000-03-10,NA,42.1906,48.125,105.25,1395.07
2000-03-13,NA,41.4698,47,107.6875,1383.62
2000-03-14,NA,40.6888,47.75,108.9375,1359.15
2000-03-15,NA,42.7914,51.375,107,1392.15
2000-03-16,NA,44.5335,54.9375,109,1458.47
2000-03-17,NA,44.8138,55.75,110,1464.47
2000-03-20,NA,45.1542,55.125,112.75,1456.63
2000-03-21,NA,48.0577,56.625,113.5,1493.87
2000-03-22,NA,48.338,55.375,114.25,1500.64
2000-03-23,NA,51.2615,54,115.25,1527.35
2000-03-24,NA,50.9612,55.5,121.5,1527.46
2000-03-27,NA,50.6008,55.4375,126.875,1523.86
2000-03-28,NA,49.98,54.5,122.5,1507.73
2000-03-29,NA,52.3829,59.125,119.5,1508.52
2000-03-30,NA,50.8611,59,122.5,1487.92
2000-03-31,NA,49.8599,56.5,118,1498.58
2000-04-03,NA,50.8611,61,121,1505.97
2000-04-04,NA,49.179,60,121.1875,1494.73
2000-04-05,NA,49.119,58.25,123.625,1487.37
2000-04-06,NA,50.2603,61.125,122.75,1501.34
2000-04-07,NA,50.8811,61.5,123.125,1516.35
2000-04-10,NA,51.0813,63.5625,122.125,1504.46
2000-04-11,NA,51.7822,63.375,119,1500.59
2000-04-12,NA,50.2203,62.4375,113,1467.17
2000-04-13,NA,48.1378,60,110.625,1440.51
2000-04-14,NA,46.6961,55.0625,105,1356.56
2000-04-17,NA,48.6985,54,111.875,1401.44
2000-04-18,NA,50.1402,54.375,112,1441.61
2000-04-19,NA,49.8198,54.9375,105,1427.47
2000-04-20,NA,50.6208,57.6875,104,1434.54
2000-04-21,NA,50.6208,57.6875,104,1434.54
2000-04-24,NA,51.9223,58.875,106.5,1429.86
2000-04-25,NA,53.1839,59.6875,112.75,1477.44
2000-04-26,NA,52.3028,58.75,110.5,1460.99
2000-04-27,NA,51.7421,57.6875,110.4375,1464.92
2000-04-28,NA,50.3805,55.375,111.5,1452.43
2000-05-01,NA,51.0613,57.9375,111.875,1468.25
2000-05-02,NA,51.6019,57.625,111.375,1446.29
2000-05-03,NA,50,53.4375,108.125,1415.1
2000-05-04,NA,49.3392,51.375,107.625,1409.57
2000-05-05,NA,50.1001,51.3125,107.875,1432.63
2000-05-08,NA,50.4055,52.375,109.75,1424.17
2000-05-09,NA,49.8648,53,109.5,1412.14
2000-05-10,NA,48.7234,56.6875,103,1383.05
2000-05-11,NA,48.9637,56,105,1407.81
2000-05-12,NA,50.2253,56.8125,104.5,1420.96
2000-05-15,NA,51.9075,57,104.1875,1452.36
2000-05-16,NA,52.268,58,109,1466.04
2000-05-17,NA,51.547,56.375,107.875,1447.8
2000-05-18,NA,51.0664,57.9375,106.0625,1437.21
2000-05-19,NA,49.8648,57.0625,106.8125,1406.95
2000-05-22,NA,48.0625,57.375,109,1400.72
2000-05-23,NA,47.5819,57.1875,107.375,1373.86
2000-05-24,NA,48.7834,56.875,109.625,1399.05
2000-05-25,NA,48.7834,55,106.5,1381.52
2000-05-26,NA,47.642,54,106.9375,1378.02
2000-05-29,NA,47.642,54,106.9375,1378.02
2000-05-30,NA,49.5044,53,110.9375,1422.45
2000-05-31,NA,50.581,58,107.375,1420.6
2000-06-01,NA,50.3455,57.5625,106,1448.81
2000-06-02,NA,50.6459,59.0625,108.4375,1477.26
2000-06-05,NA,49.5044,59.3125,112.4375,1467.63
2000-06-06,NA,49.204,58.125,112.375,1457.84
2000-06-07,NA,49.3842,57.875,121,1471.36
2000-06-08,NA,48.9036,56.875,119.75,1461.67
2000-06-09,NA,47.3416,54,119.6875,1456.95
2000-06-12,NA,47.9423,52.75,118.875,1446
2000-06-13,NA,49.204,55,119.6875,1469.44
2000-06-14,NA,48.9036,55.125,116,1470.54
2000-06-15,NA,49.8648,55.5,116.8125,1478.73
2000-06-16,NA,49.1439,53.8125,113.25,1464.46
2000-06-19,NA,49.3241,54.3125,120,1486
2000-06-20,NA,48.9637,54.375,116.3125,1475.95
2000-06-21,NA,47.5218,53.5625,114.5,1479.13
2000-06-22,NA,46.6206,52.4375,111.4375,1452.18
2000-06-23,NA,47.4016,53.75,111.75,1441.48
2000-06-26,NA,48.0024,53.875,115.125,1455.31
2000-06-27,NA,47.5819,56.8125,109.6875,1450.55
2000-06-28,NA,48.5431,55.9375,113.6875,1454.82
2000-06-29,NA,47.8222,54.125,114,1442.39
2000-06-30,NA,50.9462,57.625,109.5625,1454.6
2000-07-03,NA,49.8048,56.875,109.875,1469.54
2000-07-04,NA,49.8048,56.875,109.875,1469.54
2000-07-05,NA,47.8823,57,104,1446.23
2000-07-06,NA,48.2427,57.1875,101.75,1456.67
2000-07-07,NA,49.3241,61.875,104.6875,1478.9
2000-07-10,NA,50.4055,61.25,103.3125,1475.62
2000-07-11,NA,51.1265,62,102.1875,1480.88
2000-07-12,NA,51.1866,61,104.4375,1492.92
2000-07-13,NA,50.3455,60.125,103.125,1495.84
2000-07-14,NA,50.1652,60.75,103.9375,1509.98
2000-07-17,NA,51.6071,60.75,105.4375,1510.49
2000-07-18,NA,50.4656,60.0625,102.9375,1493.74
2000-07-19,NA,51.0664,60.1875,103.5,1481.96
2000-07-20,NA,52.1478,60,117,1495.57
2000-07-21,NA,52.0877,59.6875,114.4375,1480.19
2000-07-24,NA,51.6672,57.4375,112.5,1464.29
2000-07-25,NA,51.7873,59.1875,111.75,1474.47
2000-07-26,NA,50.1652,58.75,109.875,1452.42
2000-07-27,NA,50.2253,60,110.125,1449.62
2000-07-28,NA,48.9036,58.6875,111.8125,1419.89
2000-07-31,NA,49.6774,54.9375,112.4375,1430.83
2000-08-01,NA,50.7059,54.5625,110.5625,1438.1
2000-08-02,NA,50.2854,54.0625,114.6875,1438.7
2000-08-03,NA,49.985,53.5,116.0625,1452.56
2000-08-04,NA,50.766,52.9375,115.875,1462.93
2000-08-07,NA,51.1265,55.125,116.3125,1479.32
2000-08-08,NA,51.6672,57.5,118.9375,1482.8
2000-08-09,NA,53.7699,53.125,119.125,1472.87
2000-08-10,NA,54.7912,50.8125,119.75,1460.25
2000-08-11,NA,54.3707,51.5625,120.75,1471.84
2000-08-14,NA,54.8513,52.5,123.125,1491.56
2000-08-15,NA,55.0316,51.75,122,1484.43
2000-08-16,NA,54.5509,49.5625,120.0625,1479.85
2000-08-17,NA,54.4909,50,122.375,1496.07
2000-08-18,NA,54.1905,50.5,120.1875,1491.72
2000-08-21,NA,54.6711,49.0625,121.4375,1499.48
2000-08-22,NA,54.0102,49.6875,121.3125,1498.13
2000-08-23,NA,55.6323,49.5,123,1505.97
2000-08-24,NA,56.7738,49.0625,124.8125,1508.31
2000-08-25,NA,57.0141,50.3125,129.125,1506.45
2000-08-28,NA,57.675,49.4375,130.5625,1514.09
2000-08-29,NA,57.4347,49.25,132.875,1509.84
2000-08-30,NA,55.1517,48.1875,130.3125,1502.59
2000-08-31,NA,56.3485,47.4375,132,1517.68
2000-09-01,NA,55.8727,48.8125,133.625,1520.77
2000-09-04,NA,55.8727,48.8125,133.625,1520.77
2000-09-05,NA,56.4734,49.75,131.5625,1507.08
2000-09-06,NA,56.7137,50.375,131.4375,1492.25
2000-09-07,NA,56.6537,50.875,133.375,1502.51
2000-09-08,NA,57.6149,52.0625,129.5,1494.5
2000-09-11,NA,57.3746,54.3125,124.75,1489.26
2000-09-12,NA,57.0742,54.375,125,1481.99
2000-09-13,NA,57.0141,53.875,127.3125,1484.91
2000-09-14,NA,56.5335,52.4375,126.875,1480.87
2000-09-15,NA,54.611,51.875,124.8125,1465.81
2000-09-18,NA,55.5122,51.125,123.25,1444.51
2000-09-19,NA,54.7312,49.625,125.125,1459.9
2000-09-20,NA,54.4308,48.4375,124.375,1451.34
2000-09-21,NA,55.6323,51,126.0625,1449.05
2000-09-22,NA,55.0916,50.5,124,1448.72
2000-09-25,NA,55.8126,49.4375,121.6875,1439.03
2000-09-26,NA,56.0529,46.875,119.3125,1427.21
2000-09-27,NA,57.1343,48.125,118,1426.57
2000-09-28,NA,56.7137,48.0625,117.9375,1458.29
2000-09-29,NA,55.4521,48.125,112.5,1436.51
2000-10-02,NA,56.2331,46.25,117.8125,1436.23
2000-10-03,NA,56.7738,45.8125,110.5625,1426.46
2000-10-04,NA,56.5936,46.125,114.375,1434.32
2000-10-05,NA,57.4347,46.0625,113.1875,1436.28
2000-10-06,NA,57.1343,45.5,116,1408.99
2000-10-09,NA,56.2331,45.125,117.9375,1402.03
2000-10-10,NA,55.8126,46.375,114.875,1387.02
2000-10-11,NA,54.4308,45.3125,112,1364.59
2000-10-12,NA,52.3881,44.125,103.125,1329.78
2000-10-13,NA,54.7912,45,109.0625,1374.17
2000-10-16,NA,55.5122,47.3125,111.125,1374.62
2000-10-17,NA,53.4695,46,113,1349.97
2000-10-18,NA,53.3494,46.75,95.4375,1342.13
2000-10-19,NA,53.4695,47.8125,96.4375,1388.76
2000-10-20,NA,50.2253,46.5625,94.75,1396.93
2000-10-23,NA,47.8222,47.3125,92.875,1395.78
2000-10-24,NA,51.2466,48.375,91.4375,1398.13
2000-10-25,NA,50.8862,45.9375,87.5625,1364.9
2000-10-26,NA,50.1051,43.4375,92.75,1364.44
2000-10-27,NA,50.2253,43.25,93.6875,1379.58
2000-10-30,NA,51.9075,43.75,93.3125,1398.66
2000-10-31,NA,52.6885,45.375,98.5,1429.4
2000-11-01,NA,52.328,46.6875,98.5625,1421.22
2000-11-02,NA,51.6071,48.4375,101.9375,1428.32
2000-11-03,NA,51.2466,47.375,100.125,1426.69
2000-11-06,NA,52.3881,49,100.3125,1432.19
2000-11-07,NA,52.8087,48.9375,102.3125,1431.87
2000-11-08,NA,52.4482,48.75,100,1409.28
2000-11-09,NA,52.4482,47.125,99.4375,1400.14
2000-11-10,NA,51.7873,43.6875,93,1365.98
2000-11-13,NA,49.4443,45.3125,97.4375,1351.26
2000-11-14,NA,50.7059,46.875,99.5,1382.95
2000-11-15,NA,50.4656,49,99.375,1389.81
2000-11-16,NA,50.5858,48.25,98.25,1372.32
2000-11-17,NA,49.8648,48.5625,101.9375,1367.72
2000-11-20,NA,48.1226,47.875,103.25,1342.62
2000-11-21,NA,48.7834,47.125,98.5,1347.35
2000-11-22,NA,46.6807,45.875,98.5,1322.36
2000-11-23,NA,46.6807,45.875,98.5,1322.36
2000-11-24,NA,47.4617,45.1875,99.9375,1341.77
2000-11-27,NA,47.2214,49.3125,98.4375,1348.97
2000-11-28,NA,47.8823,49,97.875,1336.09
2000-11-29,NA,47.7621,51.875,99.8125,1341.91
2000-11-30,NA,47.642,52.1875,93.5,1314.95
2000-12-01,NA,49.0237,51.1875,95.625,1315.23
2000-12-04,NA,49.6245,53.8125,98.375,1324.97
2000-12-05,NA,52.0276,55.25,103.375,1376.54
2000-12-06,NA,51.8474,54.8125,96.75,1351.46
2000-12-07,NA,51.4269,55,95.375,1343.55
2000-12-08,NA,53.049,54.4375,97,1369.89
2000-12-11,NA,53.1691,51.375,95,1380.2
2000-12-12,NA,50.766,51.875,93.875,1371.18
2000-12-13,NA,50.9462,50.3125,91.25,1359.99
2000-12-14,NA,49.4443,51.0625,92.4375,1340.93
2000-12-15,NA,47.8823,49.875,87.8125,1312.15
2000-12-18,NA,49.0237,50.5625,90.5,1322.74
2000-12-19,NA,48.1826,48,90.125,1305.6
2000-12-20,NA,45.5993,48.9375,86,1264.74
2000-12-21,NA,46.0198,51.75,81.5625,1274.86
2000-12-22,NA,46.9811,52.5,89,1305.97
2000-12-25,NA,46.9811,52.5,89,1305.97
2000-12-26,NA,47.4016,50.625,84.8125,1315.19
2000-12-27,NA,46.3202,52.5625,84.6875,1328.92
2000-12-28,NA,46.5605,52.9375,85.25,1334.22
2000-12-29,NA,46.0799,53.125,85,1320.28
2001-01-01,NA,46.0799,53.125,85,1320.28
2001-01-02,NA,42.0547,53.875,84.8125,1283.27
2001-01-03,NA,45.9598,58.4375,94.625,1347.56
2001-01-04,NA,46.2001,56.1875,93.1875,1333.34
2001-01-05,NA,45.4791,53.9375,94,1298.35
2001-01-08,NA,43.797,53.9375,93.5625,1295.86
2001-01-09,NA,42.8958,52.75,92.5625,1300.8
2001-01-10,NA,42.9559,51.6875,93.4375,1313.27
2001-01-11,NA,44.7582,51.9375,93.6875,1326.82
2001-01-12,NA,43.9171,52.9375,93.8125,1318.32
2001-01-15,NA,43.9171,52.9375,93.8125,1318.32
2001-01-16,NA,45.5392,54.6875,92.75,1326.65
2001-01-17,NA,44.8784,53.9375,96.6875,1329.47
2001-01-18,NA,45.7795,53.0625,108.3125,1347.97
2001-01-19,NA,45.1787,50.8125,111.25,1342.54
2001-01-22,NA,43.9772,52.5625,108.5625,1342.9
2001-01-23,NA,44.8784,53.375,109.0625,1360.4
2001-01-24,NA,44.5179,53.5,110.4375,1364.3
2001-01-25,NA,44.1574,54,110.75,1357.51
2001-01-26,NA,42.8958,53.625,114.1875,1354.95
2001-01-29,NA,42.6603,54.2,114.98,1364.17
2001-01-30,NA,44.4578,53.77,116.61,1373.73
2001-01-31,NA,44.2175,56.8,112,1366.01
2001-02-01,NA,44.4386,55.7,114.05,1373.47
2001-02-02,NA,44.4866,54.76,110.27,1349.47
2001-02-05,NA,45.9958,53.84,112.22,1354.31
2001-02-06,NA,45.7555,53.2,114.19,1352.26
2001-02-07,NA,45.1307,54.66,116.91,1340.89
2001-02-08,NA,45.3133,52.3,114.1,1332.53
2001-02-09,NA,43.8907,50.4,112,1314.76
2001-02-12,NA,45.669,53.45,114.9,1330.31
2001-02-13,NA,45.3325,54.1,113.75,1318.8
2001-02-14,NA,44.4674,53,115.1,1315.92
2001-02-15,NA,46.1208,52,116.78,1326.61
2001-02-16,NA,45.1787,52.36,115,1301.53
2001-02-19,NA,45.1787,52.36,115,1301.53
2001-02-20,NA,45.842,53.4,111.5,1278.94
2001-02-21,NA,45.4671,50.21,107.51,1255.27
2001-02-22,NA,45.2749,49.7,108.9,1252.82
2001-02-23,NA,44.3905,50.28,104,1245.86
2001-02-26,NA,46.1208,51.07,105.3,1267.65
2001-02-27,NA,46.14,50.99,102.59,1257.94
2001-02-28,NA,44.6981,50.09,99.9,1239.94
2001-03-01,NA,44.131,48.34,106.05,1241.23
2001-03-02,NA,42.8429,48.92,102.3,1234.18
2001-03-05,NA,43.3331,48.37,104.91,1241.41
2001-03-06,NA,43.66,49.55,106,1253.8
2001-03-07,NA,44.1983,50.7,107.55,1261.89
2001-03-08,NA,44.0925,51.65,106.47,1264.74
2001-03-09,NA,42.1124,50.78,99.29,1233.42
2001-03-12,NA,38.0655,48.31,95.49,1180.16
2001-03-13,NA,40.6897,48.8,98.39,1197.66
2001-03-14,NA,39.4401,47.2,94.96,1166.71
2001-03-15,NA,39.4881,47.85,95.56,1173.56
2001-03-16,NA,38.9787,46.93,90.1,1150.53
2001-03-19,NA,39.5074,47.38,92.6,1170.81
2001-03-20,NA,38.498,47.88,88.3,1142.62
2001-03-21,NA,37.4888,48.31,89.08,1122.14
2001-03-22,NA,36.2391,46.91,89.1,1117.58
2001-03-23,NA,38.4404,47.57,93.51,1139.83
2001-03-26,NA,38.6711,49.6,95.4,1152.69
2001-03-27,NA,40.286,50.29,99.5,1182.17
2001-03-28,NA,39.9399,49.66,94.41,1153.29
2001-03-29,NA,39.7957,50.62,95.04,1147.95
2001-03-30,NA,40.2379,50.5,96.18,1160.33
2001-04-02,NA,40.1802,50.64,94.66,1145.87
2001-04-03,NA,38.1424,49.19,90.39,1106.46
2001-04-04,NA,38.0655,49.87,92,1103.25
2001-04-05,NA,40.4686,50.54,98.21,1151.44
2001-04-06,NA,39.5747,51.24,97.95,1128.43
2001-04-09,NA,40.3725,50.3,96,1137.59
2001-04-10,NA,42.1316,50.84,99.05,1168.38
2001-04-11,NA,41.5933,50.23,97.43,1165.89
2001-04-12,NA,42.9679,49.7,96.2,1183.5
2001-04-13,NA,42.9679,49.7,96.2,1183.5
2001-04-16,NA,42.9198,49.05,96.75,1179.68
2001-04-17,NA,43.6984,49.24,99.7,1191.81
2001-04-18,NA,46.0343,52.73,106.5,1238.16
2001-04-19,NA,46.6302,52.5,114.47,1253.7
2001-04-20,NA,46.2361,51.71,114.83,1242.98
2001-04-23,NA,45.371,52.04,112,1224.36
2001-04-24,NA,44.2079,50.1,112.67,1209.47
2001-04-25,NA,45.9574,50.67,114.85,1228.75
2001-04-26,NA,47.3896,51.24,113.74,1234.52
2001-04-27,NA,48.0144,52.83,116.2,1253.05
2001-04-30,NA,46.6495,51.74,115.14,1249.46
2001-05-01,NA,47.0147,53.5,118.51,1266.44
2001-05-02,NA,47.1974,53.08,115.4,1267.43
2001-05-03,NA,46.6206,53.1,113.7,1248.58
2001-05-04,NA,47.9952,53.02,115.86,1266.61
2001-05-07,NA,48.024,52.05,115.9,1263.51
2001-05-08,NA,47.5626,51.98,117.7,1261.2
2001-05-09,NA,47.5146,51.59,116.98,1255.54
2001-05-10,NA,47.8991,53.42,115.2,1255.18
2001-05-11,NA,47.1109,54.1,111.81,1245.67
2001-05-14,NA,47.8029,54.35,112.56,1248.92
2001-05-15,NA,48.2067,52,113.58,1249.44
2001-05-16,NA,50.1868,51.65,115.8,1284.99
2001-05-17,NA,50.0907,51.76,115.07,1288.49
2001-05-18,NA,50.9366,52.04,117.44,1291.96
2001-05-21,NA,51.3307,53.2,119.04,1312.83
2001-05-22,NA,50.6386,53.52,118.01,1309.38
2001-05-23,NA,49.3602,52.52,117.4,1289.05
2001-05-24,NA,49.4082,52.89,119.6,1293.17
2001-05-25,NA,48.0144,51.2,117.8,1277.89
2001-05-28,NA,48.0144,51.2,117.8,1277.89
2001-05-29,NA,47.7453,51.21,115.27,1267.93
2001-05-30,NA,47.1205,51.47,112.65,1248.08
2001-05-31,NA,47.1012,51.75,111.8,1255.82
2001-06-01,NA,47.1012,51.72,112.89,1260.67
2001-06-04,NA,47.5338,50.99,113.64,1267.11
2001-06-05,NA,47.2743,51.3,116.97,1283.57
2001-06-06,NA,46.8609,50.75,117.5,1270.03
2001-06-07,NA,47.0147,51.1,117.25,1276.96
2001-06-08,NA,46.2746,51.02,116.1,1264.96
2001-06-11,NA,45.5632,50.23,117.36,1254.39
2001-06-12,NA,46.8801,50.57,117.25,1255.85
2001-06-13,NA,45.9958,50.15,116.54,1241.6
2001-06-14,NA,46.9667,49.5,115.75,1219.87
2001-06-15,NA,46.9186,48.15,113.6,1214.36
2001-06-18,NA,47.1012,48.52,114.27,1208.43
2001-06-19,NA,46.9763,48.86,114.84,1212.58
2001-06-20,NA,48.8026,49.8,113.09,1223.14
2001-06-21,NA,49.2641,50.45,112.6,1237.04
2001-06-22,NA,49.8504,49.98,112.87,1225.35
2001-06-25,NA,48.3028,49,112.65,1218.6
2001-06-26,NA,46.8994,49.1,113.04,1216.76
2001-06-27,NA,46.3899,48.5,113.52,1211.07
2001-06-28,NA,46.9763,49.37,115.1,1226.2
2001-06-29,NA,47.0051,48.8,113,1224.42
2001-07-02,NA,48.2547,49.75,114.35,1236.71
2001-07-03,NA,47.5915,49.22,112.98,1234.45
2001-07-04,NA,47.5915,49.22,112.98,1234.45
2001-07-05,NA,46.5918,48.6,112.1,1219.24
2001-07-06,NA,45.073,47.34,106.5,1190.59
2001-07-09,NA,45.0345,48.25,104.72,1198.78
2001-07-10,NA,43.9868,47.5,101.96,1181.52
2001-07-11,NA,42.8813,48.85,103.85,1180.18
2001-07-12,NA,45.1787,51.85,107.25,1208.14
2001-07-13,NA,45.6113,52.9,108.53,1215.68
2001-07-16,NA,44.429,53.48,107.82,1202.45
2001-07-17,NA,44.3232,53.35,108.53,1214.44
2001-07-18,NA,44.3617,53.98,104.28,1207.71
2001-07-19,NA,44.6789,54.23,104,1215.02
2001-07-20,NA,44.8231,54.28,105.7,1210.85
2001-07-23,NA,43.5446,53.03,105.85,1191.03
2001-07-24,NA,42.295,53.1,104.51,1171.65
2001-07-25,NA,42.1027,55.1,104.89,1190.49
2001-07-26,NA,42.0547,55.5,106,1202.93
2001-07-27,NA,42.9198,55.41,104.7,1205.82
2001-07-30,NA,41.9105,55.88,105.85,1204.52
2001-07-31,NA,41.8144,55.9,105.21,1211.23
2001-08-01,NA,41.1415,55.01,107.06,1215.93
2001-08-02,NA,40.5647,55.99,108.8,1220.75
2001-08-03,NA,41.0934,55.39,108.18,1214.35
2001-08-06,NA,39.7861,54.5,106.51,1200.48
2001-08-07,NA,41.1127,55.08,106.25,1204.4
2001-08-08,NA,40.0361,54.53,104.19,1183.53
2001-08-09,NA,40.2764,54.17,104.08,1183.43
2001-08-10,NA,40.9204,53.6,104.95,1190.16
2001-08-13,NA,40.5936,52.2,105.86,1191.29
2001-08-14,NA,40.2283,52.36,106.2,1186.73
2001-08-15,NA,40.161,52,105.01,1178.02
2001-08-16,NA,39.988,51.69,105.75,1181.66
2001-08-17,NA,39.219,50.8,104.59,1161.97
2001-08-20,NA,39.9207,51.59,104.1,1171.41
2001-08-21,NA,38.9018,49.94,101.89,1157.26
2001-08-22,NA,39.267,50.24,103.96,1165.31
2001-08-23,NA,39.4497,49.74,103,1162.09
2001-08-24,NA,40.3629,50.95,106.99,1184.93
2001-08-27,NA,40.5359,50.39,106.86,1179.21
2001-08-28,NA,39.6323,50.1,104.95,1161.51
2001-08-29,NA,39.0363,49.15,104.13,1148.6
2001-08-30,NA,38.6422,47.6,100.36,1129.03
2001-08-31,NA,39.392,48.05,99.95,1133.58
2001-09-03,NA,39.392,48.05,99.95,1133.58
2001-09-04,NA,39.2478,48.45,101.49,1132.94
2001-09-05,NA,40.0841,49.15,100.35,1131.74
2001-09-06,NA,38.9306,47.37,98,1106.4
2001-09-07,NA,38.1232,46.22,96.59,1085.78
2001-09-10,NA,37.8252,46.23,96.47,1092.54
2001-09-11,NA,37.8252,46.23,96.47,1092.54
2001-09-12,NA,37.8252,46.23,96.47,1092.54
2001-09-13,NA,37.8252,46.23,96.47,1092.54
2001-09-14,NA,37.8252,46.23,96.47,1092.54
2001-09-17,NA,33.7879,44,93.34,1038.77
2001-09-18,NA,32.5383,45.35,96.4,1032.74
2001-09-19,NA,31.2406,45.45,96,1016.1
2001-09-20,NA,29.1931,45.31,93.4,984.54
2001-09-21,NA,30.0871,44.66,90.5,965.8
2001-09-24,NA,33.836,47.28,94.8,1003.45
2001-09-25,NA,34.1244,48.4,94.45,1012.27
2001-09-26,NA,34.1051,49.48,91.3,1007.04
2001-09-27,NA,34.5569,49.39,90,1018.61
2001-09-28,NA,35.7585,49.5,91.72,1040.94
2001-10-01,NA,36.1814,49.76,92.71,1038.55
2001-10-02,NA,36.5755,52,93.77,1051.33
2001-10-03,NA,36.6717,52.73,96.95,1072.28
2001-10-04,NA,35.9411,51.5,97.31,1069.63
2001-10-05,NA,35.9988,52.4,98.02,1071.38
2001-10-08,NA,35.374,51.11,98.5,1062.44
2001-10-09,NA,35.3932,52.08,97.14,1056.75
2001-10-10,NA,36.441,53.63,97.25,1080.99
2001-10-11,NA,37.4407,53.49,99.4,1097.43
2001-10-12,NA,37.4888,52.9,100.84,1091.65
2001-10-15,NA,37.3542,53.48,102,1089.98
2001-10-16,NA,36.9793,53.14,101.85,1097.54
2001-10-17,NA,35.5951,52.22,102.9,1077.09
2001-10-18,NA,35.8066,51.9,101.26,1068.61
2001-10-19,NA,35.8066,53.01,102.65,1073.48
2001-10-22,NA,36.1526,53.04,105.25,1089.9
2001-10-23,NA,35.8258,52.61,105.81,1084.78
2001-10-24,NA,35.6431,52.48,108.57,1085.2
2001-10-25,NA,36.4025,53.3,110.66,1100.09
2001-10-26,NA,37.3734,53.42,111.16,1104.61
2001-10-29,NA,35.9796,51.9,108.62,1078.3
2001-10-30,NA,34.9318,50.6,108.65,1059.79
2001-10-31,NA,34.9991,51.4,108.07,1059.78
2001-11-01,NA,36.441,52.24,109.89,1084.1
2001-11-02,NA,36.489,52.97,109.5,1087.2
2001-11-05,NA,37.2676,53.9,109.97,1102.84
2001-11-06,NA,38.2577,54.94,114.19,1118.86
2001-11-07,NA,37.8252,53.82,113.85,1115.8
2001-11-08,NA,38.7864,54.5,113.81,1118.54
2001-11-09,NA,38.8441,55.1,114.08,1120.31
2001-11-12,NA,37.9021,55.58,114.86,1118.33
2001-11-13,NA,38.9883,55,116.7,1139.09
2001-11-14,NA,39.2959,55.28,114.35,1141.21
2001-11-15,NA,39.9399,56,114.75,1142.24
2001-11-16,NA,39.267,55.1,114.5,1138.65
2001-11-19,NA,39.6516,55.75,115,1151.06
2001-11-20,NA,39.5074,55.7,115.44,1142.66
2001-11-21,NA,38.8826,55.12,114.34,1137.03
2001-11-22,NA,38.8826,55.12,114.34,1137.03
2001-11-23,NA,39.4305,55.8,115.35,1150.34
2001-11-26,NA,39.7188,55.75,116.33,1157.42
2001-11-27,NA,39.4785,55.08,114.2,1149.5
2001-11-28,NA,37.8252,55,112.15,1128.52
2001-11-29,NA,38.1905,54.65,114.43,1140.2
2001-11-30,NA,37.0081,55.15,115.59,1139.45
